Richard,Barnebey
Richard,Barnell
Richelle,Barner
Richie,Barners
Rick,Barnes
Rickey,Barness
Ricki,Barnet
Rickie,Barnett
Rickie,Barnette
Ricky,Barney
Rico,Barnfield
Rigoberto,Barnhardt
Rikki,Barnhart
Riley,Barnhill
Rima,Barnhouse
Rina,Barnhurst
Risa,Barnick
Rita,Barnicle
Riva,Barninger
Rivka,Barno
Rob,Barnoski
Robbi,Barns
Robbie,Barnscater
Robbie,Barnt
Robbin,Barnthouse
Robby,Barnum
Robbyn,Barnwell
Robena,Baro
Robert,Barocio
Robert,Baroldy
Roberta,Baron
Roberto,Barona
Roberto,Barone
Robin,Baroni
Robin,Baronne
Robt,Baroody
Robyn,Baros
Rocco,Barquera
Rochel,Barr
Rochell,Barra
Rochelle,Barrack
Rocio,Barraclough
Rocky,Barraco
Rod,Barragan
Roderick,Barrale
Rodger,Barran
Rodney,Barranca
Rodolfo,Barranco
Rodrick,Barranger
Rodrigo,Barras
Rogelio,Barrasa
Roger,Barratt
Roland,Barraz
Rolanda,Barraza
